name,food_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,fit
醬漬牛蒡,30514,2.00381,-2.1026044,-0.016465114,1.6721351,-0.9262809,0.8839027,-0.119484365,-0.35878685,-0.40795794,-1.0048403,1.2787954,-0.19763814,-1.2347257,-1.3153167,0.9614922,2.2788746,0.22369616,-0.017417388165788594,2.1036795425308137,1.3534683486843289,-0.06859113794855043,0.20465709878264796,1
紫蘇梅漬苦瓜,30515,2.7619572,-0.9376491,-0.6023852,1.6352673,-2.1650224,1.1412312,-1.5502397,1.0251544,-0.90244406,-1.2499505,1.7649018,0.38086933,-1.1038631,-1.7283671,2.2997165,1.9882358,0.81730324,1.0202567184083293,2.433802600230837,1.7312410177005773,-2.657566291720334,0.4653697542324042,1
紅酒漬洋蔥,30516,2.3945692,-1.0752516,-0.028021097,0.79182625,-0.42055875,0.38269094,1.4245803,0.046414852,-0.68351537,-1.4079297,1.0029843,-1.1005825,-1.8839241,-1.9483864,1.3812196,3.9028041,1.3820262,-0.2881379674269499,0.5038222650489181,2.076781905474861,-0.56113647051711,1.3027334833949233,1
蔥油芋艿,30517,0.7703541,-3.321264,-1.6193358,1.0939627,-0.8230438,0.797035,0.22051549,-1.7490361,-0.053031083,-0.5983393,1.1972752,-1.6888496,-0.3920415,-0.79376924,0.99293685,2.8100863,0.5814398,-1.1937464705476344,1.5280015327539795,0.7248590863444009,0.8905748054311167,-0.9994355203624948,1
黃金泡菜,30518,0.6017644,-1.8720163,-0.50185376,1.4167044,-1.8158681,-0.7163868,-1.3397738,0.8695516,1.1816232,-2.1797228,1.9953014,0.57817644,-0.8854056,-0.92364275,1.4494822,2.0041368,2.6752863,0.05410931058820668,0.6864251622817574,-0.3008769434543175,-2.875514222262882,0.2445201218861151,1
日式味噌漬黃瓜,30519,1.6817117,-1.4188321,0.030474842,0.8166972,-1.3006632,-0.13066696,-1.5018128,1.0529507,0.7351209,-2.2291856,3.3573747,0.94238573,-1.553353,-0.7520974,2.0555182,1.8526783,2.3871312,0.8883319615582267,1.083305248127499,0.1711896918289747,-2.715301381275935,0.7778641159732932,1
醋漬白蘿蔔,30520,1.6034199,-2.6372485,0.022414038,1.0638151,-1.450412,0.01758546,-1.6188545,0.70081365,-0.04236446,-3.0852015,3.1148129,0.4364466,-1.3084934,-1.117431,1.9843985,1.9189707,2.9461858,0.10083281737951742,1.2762822027947784,-0.19325446935744683,-3.118901832582404,0.005581258629274527,1
梅醋青木瓜,30521,2.8549883,-2.6325386,-0.009008164,1.423293,-0.59316856,-0.383268,-1.3271682,0.29237914,0.7856521,-1.8080249,2.2298343,-0.37495226,-1.4773304,-1.1455522,1.3683646,1.474808,0.22730899,0.22367912543365243,2.8566648024153776,0.3676953010129609,-0.5344793442934288,1.4245539733660455,1
樹子苦瓜,30522,3.194389,-2.3665814,-1.5164859,1.9467292,-2.076968,0.44093955,-0.8960409,0.27338284,-0.012088478,-1.4943091,0.61250716,0.04387619,-0.38488904,-0.6628592,2.08621,2.2887397,0.44860286,-0.42664522280026573,2.8892224462660816,1.6116191013488441,-1.7993529586152246,0.30640205951166605,1
蜜番茄,30523,3.0736172,-3.6220021,-0.25519952,1.4434416,0.30933088,-0.8468102,-1.3882631,-0.82097626,1.6076022,-1.5031836,1.9102403,-0.8938006,-2.293521,-0.69359833,0.72630507,1.8158739,-0.084175676,-0.4416558144836266,3.386523177782202,-0.28148677688172735,1.1525180494105731,1.6694285365078256,1
辣白蘿蔔,30524,0.55770063,-1.157071,-1.4217824,1.9222487,-1.145077,-0.8294841,-0.6032714,1.2962267,0.90805703,-2.7734835,2.8722181,0.40243766,-1.0623959,-1.5026032,2.545775,1.3845465,1.8221658,-0.388379321263446,0.8996417524801114,-0.2895887524477858,-3.2607551217285353,1.004508193439242,1
紅油小黃瓜,30525,2.2254999,-1.6951631,-0.7929128,1.365059,-2.5918112,0.11555556,-0.48052642,1.023983,0.38798577,-3.0277207,2.3798342,0.7237403,-0.55220395,-1.1085625,2.0018835,2.003593,3.8976,-0.29221111251347015,0.1854778200710857,1.1306466188639674,-4.249911666623531,0.3576953650909754,1
五味豆薯,30526,1.9862046,-2.8732562,-1.2072463,2.3912976,-1.3335836,-0.17453021,-0.47520122,-0.36742812,0.8365024,-2.215486,1.582417,-0.65613496,-0.60864097,-0.7035638,1.1018938,2.1957557,2.3759398,-1.3721973702793049,1.3763624581172924,0.8118443174807644,-1.611182139450316,0.06817878645432407,1
海鮮比薩,30527,-0.23099048,-0.10112475,1.1657906,-0.6370291,-1.3895291,0.27750754,-1.4390728,-1.4530784,-0.61158735,-1.4046903,2.6828046,-1.4023911,-1.8398676,0.04709439,0.40861547,0.9072628,1.5803949,3.4892334269655536,-0.310381155729757,-0.2856818012841823,0.25104109962838805,-1.4184585713236468,3
櫻花蝦芋絲,30528,-0.031625096,-1.2326379,-1.3936287,0.59565276,-1.7286782,-0.43423554,-0.025955252,-2.448148,1.7693372,-2.8274295,0.71324426,-0.12179885,0.90000427,-0.87441516,8.2070335e-5,2.6017828,1.9251882,-0.7955000130024279,-1.9493809580382853,-0.6439457966332107,-0.2078420624555291,-0.606187682894475,2
